onet_code,onet_title
11-3012.00,Administrative Services Managers
11-2011.00,Advertising and Promotions Managers
13-2051.00,Financial and Investment Analysts
13-1199.04,Business Continuity Planners
13-2041.00,Credit Analysts
41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
11-2022.00,Sales Managers
13-2011.00,Accountants and Auditors
43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks"
13-2052.00,Personal Financial Advisors
43-3021.00,Billing and Posting Clerks
27-2011.00,Actors
15-2011.00,Actuaries
13-1032.00,"Insurance Appraisers, Auto Damage"
43-9022.00,Word Processors and Typists
43-1011.00,First-Line Supervisors of Office and Administrative Support Workers
43-6011.00,Executive Secretaries and Executive Administrative Assistants
43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"
11-9033.00,"Education Administrators, Postsecondary"
13-1161.01,Search Marketing Strategists
15-1252.00,Software Developers
11-1031.00,Legislators
11-3031.00,Financial Managers
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes"
11-1021.00,General and Operations Managers
49-3011.00,Aircraft Mechanics and Service Technicians
53-2011.00,"Airline Pilots, Copilots, and Flight Engineers"
11-2021.00,Marketing Managers
13-1041.00,Compliance Officers
15-2051.01,Business Intelligence Analysts
15-1251.00,Computer Programmers
19-2031.00,Chemists
15-2051.00,Data Scientists
15-1231.00,Computer Network Support Specialists
15-1211.00,Computer Systems Analysts
17-2199.06,Microsystems Engineers
15-1299.06,Digital Forensics Analysts
15-1253.00,Software Quality Assurance Analysts and Testers
15-1299.09,Information Technology Project Managers
17-1011.00,"Architects, Except Landscape and Naval"
27-1011.00,Art Directors
27-1012.00,Craft Artists
51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers"
51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
51-2023.00,Electromechanical Equipment Assemblers
51-2022.00,Electrical and Electronic Equipment Assemblers
11-3031.03,Investment Fund Managers
11-9199.08,Loss Prevention Managers
27-2021.00,Athletes and Sports Competitors
23-1011.00,Lawyers
11-9199.02,Compliance Managers
15-1299.07,Blockchain Engineers
17-2072.00,"Electronics Engineers, Except Computer"
17-3027.01,Automotive Engineering Technicians
53-7065.00,Stockers and Order Fillers
51-3011.00,Bakers
51-3021.00,Butchers and Meat Cutters
41-3031.00,"Securities, Commodities, and Financial Services Sales Agents"
43-3071.00,Tellers
13-2072.00,Loan Officers
35-3023.00,Fast Food and Counter Workers
35-3011.00,Bartenders
35-3023.01,Baristas
41-9011.00,Demonstrators and Product Promoters
39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists"
17-2112.00,Industrial Engineers
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists"
13-1082.00,Project Management Specialists
41-2011.00,Cashiers
41-9021.00,Real Estate Brokers
43-4011.00,Brokerage Clerks
13-1111.00,Management Analysts
43-9081.00,Proofreaders and Copy Markers
11-3031.01,Treasurers and Controllers
13-1161.00,Market Research Analysts and Marketing Specialists
15-1243.01,Data Warehousing Specialists
13-2099.01,Financial Quantitative Analysts
13-1021.00,"Buyers and Purchasing Agents, Farm Products"
27-1026.00,Merchandise Displayers and Window Trimmers
53-2031.00,Flight Attendants
17-3012.00,Electrical and Electronics Drafters
17-3013.00,Mechanical Drafters
43-4171.00,Receptionists and Information Clerks
41-2012.00,Gambling Change Persons and Booth Cashiers
43-4051.00,Customer Service Representatives
11-2032.00,Public Relations Managers
13-1131.00,Fundraisers
53-5021.00,"Captains, Mates, and Pilots of Water Vessels"
31-1133.00,Psychiatric Aides
47-3012.00,Helpers--Carpenters
43-4061.00,"Eligibility Interviewers, Government Programs"
43-3041.00,Gambling Cage Workers
39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers"
39-1014.00,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services"
35-2013.00,"Cooks, Private Household"
19-4031.00,Chemical Technicians
17-2041.00,Chemical Engineers
17-2051.00,Civil Engineers
13-1031.00,"Claims Adjusters, Examiners, and Investigators"
43-9041.00,Insurance Claims and Policy Processing Clerks
37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners"
43-4071.00,File Clerks
43-4141.00,New Accounts Clerks
11-9111.00,Medical and Health Services Managers
15-2051.02,Clinical Data Managers
11-9121.01,Clinical Research Coordinators
29-1051.00,Pharmacists
19-4061.00,Social Science Research Assistants
15-1241.00,Computer Network Architects
31-1121.00,Home Health Aides
51-9161.00,Computer Numerically Controlled Tool Operators
27-2022.00,Coaches and Scouts
43-4041.00,"Credit Authorizers, Checkers, and Clerks"
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products"
13-2053.00,Insurance Underwriters
17-2071.00,Electrical Engineers
11-3061.00,Purchasing Managers
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
27-3031.00,Public Relations Specialists
19-3011.01,Environmental Economists
11-3111.00,Compensation and Benefits Managers
15-1232.00,Computer User Support Specialists
41-9041.00,Telemarketers
11-9021.00,Construction Managers
27-3043.00,Writers and Authors
27-2012.05,Media Technical Directors/Managers
13-1051.00,Cost Estimators
27-3043.05,"Poets, Lyricists and Creative Writers"
51-4051.00,Metal-Refining Furnace Operators and Tenders
17-3024.01,Robotics Technicians
35-2014.00,"Cooks, Restaurant"
21-2021.00,"Directors, Religious Activities and Education"
19-3051.00,Urban and Regional Planners
21-1012.00,"Educational, Guidance, and Career Counselors and Advisors"
53-6021.00,Parking Attendants
13-2054.00,Financial Risk Specialists
53-4041.00,Subway and Streetcar Operators
13-1199.06,Online Merchants
43-6012.00,Legal Secretaries and Administrative Assistants
